filename,width,height,class,xmin,ymin,xmax,ymax
20151127_114556.jpg,224,224,pasta,92,56,166,113
20151127_114556.jpg,224,224,potatoes,49,132,116,187
20151127_114946.jpg,224,224,pasta,37,146,106,200
20151127_114946.jpg,224,224,pizza,33,65,189,134
20151127_114946.jpg,224,224,tangerine,148,37,171,58
20151127_114946.jpg,224,224,tangerine,115,33,140,52
20151127_114946.jpg,224,224,pudding,64,18,105,52
20151127_120002_2.jpg,224,224,pizzoccheri,63,150,140,208
20151127_120002_2.jpg,224,224,spinach,60,72,106,119
20151127_120002_2.jpg,224,224,fillet_fish,97,43,145,113
20151127_120002_2.jpg,224,224,bread,151,104,204,141
20151127_124702.jpg,224,224,pasta,33,125,126,194
20151127_124702.jpg,224,224,bread,130,118,172,150
20151127_124702.jpg,224,224,bread,135,154,172,187
20151127_124702.jpg,224,224,savory_pie,83,52,136,107
20151127_124702.jpg,224,224,savory_pie,86,47,138,104
20151127_124702.jpg,224,224,potatoes,45,37,83,94
20151127_124702.jpg,224,224,tangerine,161,70,191,93
20151127_124702.jpg,224,224,tangerine,119,13,144,35
20151127_124702.jpg,224,224,tangerine,164,12,191,33
20151127_124803.jpg,224,224,pasta,65,25,140,93
20151127_124803.jpg,224,224,scallops,69,128,147,191
20151127_124936.jpg,224,224,pizzoccheri,40,82,133,138
20151127_124936.jpg,224,224,bread,144,136,199,180
20151127_124936_3.jpg,224,224,bread,136,27,181,85
20151127_124936_3.jpg,224,224,pizzoccheri,78,91,144,184
20151127_125158.jpg,224,224,tangerine,153,118,173,144
20151127_125158.jpg,224,224,tangerine,170,110,189,132
20151127_125158.jpg,224,224,tangerine,162,141,183,164
20151127_125158.jpg,224,224,potatoes,113,39,145,89
20151127_125158.jpg,224,224,meat,88,67,140,118
20151127_125158.jpg,224,224,yogurt,47,129,75,169
20151127_125347.jpg,224,224,rice,120,63,179,146
20151127_125347.jpg,224,224,spinach,19,50,61,98
20151127_125347.jpg,224,224,potatoes,42,81,81,125
20151127_125457.jpg,224,224,pizzoccheri,55,80,134,146
20151127_125457.jpg,224,224,bread,147,108,186,164
20151127_125457_1.jpg,224,224,pizzoccheri,84,81,186,145
20151127_125457_1.jpg,224,224,bread,34,108,82,164
20151127_125457_2.jpg,224,224,pizzoccheri,44,76,147,137
20151127_125457_2.jpg,224,224,bread,143,65,197,118
20151127_125457_3.jpg,224,224,pizzoccheri,83,80,150,177
20151127_125457_3.jpg,224,224,bread,108,35,161,83
20151127_120002_3.jpg,224,224,pizzoccheri,24,85,76,164
20151127_120002_3.jpg,224,224,spinach,103,115,147,163
20151127_120002_3.jpg,224,224,fillet_fish,121,83,180,135
20151127_120002_3.jpg,224,224,bread,81,21,120,71
20151127_125520.jpg,224,224,pasta,65,52,140,116
20151127_125520.jpg,224,224,apple,119,161,154,194
20151127_125520.jpg,224,224,tangerine,153,150,173,174
20151127_125520.jpg,224,224,tangerine,156,175,175,196
20151127_125520.jpg,224,224,salad,22,147,100,207
20151127_125520_1.jpg,224,224,salad,124,140,198,200
20151127_125520_1.jpg,224,224,apple,73,161,105,192
20151127_125520_1.jpg,224,224,tangerine,49,160,72,175
20151127_125520_1.jpg,224,224,tangerine,49,172,71,194
20151127_125520_1.jpg,224,224,pasta,82,58,160,119
20151127_125520_3.jpg,224,224,pasta,60,73,119,165
20151127_125520_3.jpg,224,224,salad,153,126,209,196
20151127_125520_3.jpg,224,224,apple,162,71,187,107
20151127_125520_3.jpg,224,224,tangerine,151,50,175,70
20151127_125520_3.jpg,224,224,tangerine,176,44,194,67
20151127_125646.jpg,224,224,pizza,31,19,141,139
20151127_125646.jpg,224,224,bread,135,131,166,183
20151127_125714.jpg,224,224,bread,88,30,120,79
20151127_125714.jpg,224,224,pudding,16,39,48,81
20151127_125714.jpg,224,224,pizzoccheri,52,102,114,169
20151127_125714.jpg,224,224,carrot,161,89,209,161
20151127_125714.jpg,224,224,meat,134,96,177,183
20151127_125714_1.jpg,224,224,carrot,18,91,54,176
20151127_125714_1.jpg,224,224,meat,42,90,92,178
20151127_125714_1.jpg,224,224,pizzoccheri,111,100,168,174
20151127_125714_1.jpg,224,224,bread,99,27,138,81
20151127_125714_1.jpg,224,224,pudding,174,40,205,85
20151127_125714_2.jpg,224,224,carrot,164,54,210,135
20151127_125714_2.jpg,224,224,meat,132,53,169,133
20151127_125714_2.jpg,224,224,pizzoccheri,52,32,114,120
20151127_125714_2.jpg,224,224,bread,82,146,128,195
20151127_125714_2.jpg,224,224,pudding,18,140,53,186
20151127_125751.jpg,224,224,pasta,32,46,92,137
20151127_125751.jpg,224,224,savory_pie,124,113,184,174
20151127_125751.jpg,224,224,potatoes,142,67,194,117
20151127_125751.jpg,224,224,tangerine,28,160,53,189
20151127_125751.jpg,224,224,tangerine,51,182,79,204
20151127_125814.jpg,224,224,carrot,121,18,175,78
20151127_125814.jpg,224,224,savory_pie,106,76,177,118
20151127_125814.jpg,224,224,pizzoccheri,33,81,92,170
20151127_125814.jpg,224,224,cake,168,127,212,181
20151127_125814_1.jpg,224,224,carrot,53,16,98,72
20151127_125814_1.jpg,224,224,savory_pie,54,74,125,121
20151127_125814_1.jpg,224,224,cake,9,125,57,185
20151127_125814_1.jpg,224,224,pizzoccheri,132,82,187,175
20151127_120128.jpg,224,224,cake,131,24,178,73
20151127_120128.jpg,224,224,pasta,108,92,180,148
20151127_120128.jpg,224,224,cutlet,59,38,113,81
20151127_125814_2.jpg,224,224,carrot,117,157,178,202
20151127_125814_2.jpg,224,224,savory_pie,99,106,175,164
20151127_125814_2.jpg,224,224,pizzoccheri,38,48,94,151
20151127_125814_2.jpg,224,224,cake,166,38,213,99
20151127_125814_3.jpg,224,224,pizzoccheri,79,130,178,187
20151127_125814_3.jpg,224,224,carrot,24,54,73,105
20151127_125814_3.jpg,224,224,savory_pie,52,63,127,117
20151127_125814_3.jpg,224,224,cake,134,10,182,53
20151127_125829.jpg,224,224,pizzoccheri,98,36,175,102
20151127_125829.jpg,224,224,potatoes,40,124,82,161
20151127_125829.jpg,224,224,savory_pie,44,145,116,191
20151127_125829.jpg,224,224,bread,127,141,177,177
20151127_125829_2.jpg,224,224,savory_pie,45,32,113,78
20151127_125829_2.jpg,224,224,potatoes,40,64,83,102
20151127_125829_2.jpg,224,224,bread,126,45,176,84
20151127_125829_2.jpg,224,224,pizzoccheri,94,120,190,180
20151127_125829_3.jpg,224,224,pizzoccheri,47,41,99,128
20151127_125829_3.jpg,224,224,savory_pie,149,114,191,176
20151127_125829_3.jpg,224,224,potatoes,119,146,164,187
20151127_125829_3.jpg,224,224,bread,140,46,176,96
20151127_125858.jpg,224,224,bread,20,40,63,81
20151127_125858.jpg,224,224,bread,36,80,78,118
20151127_125858.jpg,224,224,tangerine,114,126,134,143
20151127_125858.jpg,224,224,tangerine,125,108,147,126
20151127_125858.jpg,224,224,tangerine,132,132,156,152
20151127_125858.jpg,224,224,potatoes,29,140,83,167
20151127_125858.jpg,224,224,meat,26,172,106,202
20151127_125858.jpg,224,224,pizzoccheri,90,23,164,89
20151127_125858_3.jpg,224,224,pizzoccheri,21,63,91,129
20151127_125858_3.jpg,224,224,tangerine,108,76,127,99
20151127_125858_3.jpg,224,224,tangerine,133,69,153,90
20151127_125858_3.jpg,224,224,tangerine,124,91,144,113
20151127_125858_3.jpg,224,224,potatoes,143,137,171,196
20151127_125858_3.jpg,224,224,meat,157,121,202,189
